"","term_id","p_value","source","term_name","parents"
"231","GO:0048332","0.00722150250825989","GO:BP","mesoderm morphogenesis","c(""GO:0007498"", ""GO:0048729"")"
"232","GO:0022409","0.00725101583815313","GO:BP","positive regulation of cell-cell adhesion","c(""GO:0022407"", ""GO:0045785"", ""GO:0098609"")"
"233","GO:1902105","0.00725337138706145","GO:BP","regulation of leukocyte differentiation","c(""GO:0002521"", ""GO:1903706"")"
"234","GO:0042127","0.00725337138706145","GO:BP","regulation of cell population proliferation","c(""GO:0008283"", ""GO:0050794"")"
"235","GO:1903131","0.00725337138706145","GO:BP","mononuclear cell differentiation","GO:0002521"
"236","GO:0005102","0.00727453016707889","GO:MF","signaling receptor binding","GO:0005515"
"237","GO:0031401","0.00743928922430547","GO:BP","positive regulation of protein modification process","c(""GO:0031399"", ""GO:0036211"", ""GO:0051247"")"
"238","GO:0071363","0.00753939238010196","GO:BP","cellular response to growth factor stimulus","c(""GO:0070848"", ""GO:0071495"")"
"239","GO:0043405","0.00787143714530977","GO:BP","regulation of MAP kinase activity","GO:0071900"
"240","GO:0007193","0.00805697088240887","GO:BP","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","GO:0007188"
"241","GO:0051251","0.00805697088240887","GO:BP","positive regulation of lymphocyte activation","c(""GO:0002696"", ""GO:0046649"", ""GO:0051249"")"
"242","GO:0051249","0.00819332820249489","GO:BP","regulation of lymphocyte activation","c(""GO:0002694"", ""GO:0046649"")"
"243","GO:0051234","0.00831709298833474","GO:BP","establishment of localization","GO:0051179"
"244","GO:0034097","0.00869826640515771","GO:BP","response to cytokine","GO:0010033"
"245","GO:0043549","0.00877937317901719","GO:BP","regulation of kinase activity","c(""GO:0042325"", ""GO:0051338"")"
"246","GO:2000628","0.00877937317901719","GO:BP","regulation of miRNA metabolic process","c(""GO:0010586"", ""GO:0051252"")"
"247","GO:0071902","0.00908858144450045","GO:BP","positive regulation of protein serine/threonine kinase activity","c(""GO:0045860"", ""GO:0071900"")"
"248","GO:0048522","0.00923824584599044","GO:BP","positive regulation of cellular process","c(""GO:0009987"", ""GO:0048518"", ""GO:0050794"")"
"249","GO:0005938","0.0094594640236135","GO:CC","cell cortex","c(""GO:0005737"", ""GO:0071944"")"
"250","GO:0007492","0.00961679460854113","GO:BP","endoderm development","GO:0009888"
"251","GO:0051797","0.00969964507244961","GO:BP","regulation of hair follicle development","c(""GO:0001942"", ""GO:0042634"", ""GO:2000026"")"
"252","GO:0009719","0.00969964507244961","GO:BP","response to endogenous stimulus","GO:0050896"
"253","GO:0014812","0.00981826550009946","GO:BP","muscle cell migration","GO:0016477"
"254","GO:0030054","0.0100551768676418","GO:CC","cell junction","GO:0110165"
"255","GO:0002009","0.0103749000076454","GO:BP","morphogenesis of an epithelium","c(""GO:0048729"", ""GO:0060429"")"
"256","GO:0007589","0.0104044334338849","GO:BP","body fluid secretion","c(""GO:0046903"", ""GO:0050878"")"
"257","GO:0030097","0.0104095896478118","GO:BP","hemopoiesis","GO:0048468"
"258","GO:0006907","0.0104095896478118","GO:BP","pinocytosis","GO:0006897"
"259","GO:0032986","0.0104095896478118","GO:BP","protein-DNA complex disassembly","c(""GO:0032984"", ""GO:0071824"")"
"260","GO:0065008","0.0104095896478118","GO:BP","regulation of biological quality","GO:0065007"
"261","GO:0072111","0.0104095896478118","GO:BP","cell proliferation involved in kidney development","c(""GO:0001822"", ""GO:0008283"")"
"262","GO:0043393","0.0105457623523172","GO:BP","regulation of protein binding","GO:0051098"
"263","GO:0071900","0.0105457623523172","GO:BP","regulation of protein serine/threonine kinase activity","GO:0045859"
"264","GO:0035556","0.0105713218600636","GO:BP","intracellular signal transduction","GO:0007165"
"265","GO:0048145","0.0106865201070842","GO:BP","regulation of fibroblast proliferation","c(""GO:0042127"", ""GO:0048144"")"
"266","GO:0140747","0.0113410382552199","GO:BP","regulation of ncRNA transcription","c(""GO:0006355"", ""GO:0098781"")"
"267","GO:0140678","0.0118082652299446","GO:MF","molecular function inhibitor activity","GO:0098772"
"268","GO:0061134","0.0118082652299446","GO:MF","peptidase regulator activity","GO:0030234"
"269","GO:0051575","0.0118082652299446","GO:MF","5'-deoxyribose-5-phosphate lyase activity","c(""GO:0016835"", ""GO:0140097"")"
"270","GO:0044877","0.0118082652299446","GO:MF","protein-containing complex binding","GO:0005488"
"271","GO:0045860","0.0118972211644276","GO:BP","positive regulation of protein kinase activity","c(""GO:0001934"", ""GO:0033674"", ""GO:0045859"")"
"272","GO:1901888","0.0119082452546269","GO:BP","regulation of cell junction assembly","c(""GO:0034329"", ""GO:0044087"", ""GO:0051128"")"
"273","GO:0046426","0.0119915807611137","GO:BP","negative regulation of receptor signaling pathway via JAK-STAT","c(""GO:0007259"", ""GO:0046425"", ""GO:1904893"")"
"274","GO:0045619","0.0120197263242335","GO:BP","regulation of lymphocyte differentiation","c(""GO:0030098"", ""GO:0051249"", ""GO:1902105"")"
"275","GO:0098772","0.0123357683055431","GO:MF","molecular function regulator activity","GO:0003674"
"276","GO:0051098","0.0123867488708576","GO:BP","regulation of binding","GO:0065009"
"277","GO:0006810","0.0123867488708576","GO:BP","transport","GO:0051234"
"278","GO:0001942","0.0124613540750341","GO:BP","hair follicle development","c(""GO:0022405"", ""GO:0048856"", ""GO:0098773"")"
"279","GO:0003680","0.0127702864153922","GO:MF","minor groove of adenine-thymine-rich DNA binding","GO:0000217"
"280","GO:0002690","0.0127876663740302","GO:BP","positive regulation of leukocyte chemotaxis","c(""GO:0002687"", ""GO:0002688"", ""GO:0030595"", ""GO:0050921"")"
"281","GO:0007178","0.0128393549763423","GO:BP","transmembrane receptor protein serine/threonine kinase signaling pathway","GO:0007167"
"282","GO:0010468","0.0130465924263207","GO:BP","regulation of gene expression","c(""GO:0010467"", ""GO:0010556"")"
"283","GO:0000165","0.0130465924263207","GO:BP","MAPK cascade","GO:0035556"
"284","GO:0010586","0.0131899510587237","GO:BP","miRNA metabolic process","GO:0034660"
"285","GO:0001817","0.0131899510587237","GO:BP","regulation of cytokine production","c(""GO:0001816"", ""GO:0010468"", ""GO:0051239"")"
"286","GO:0022404","0.0131899510587237","GO:BP","molting cycle process","c(""GO:0032501"", ""GO:0042303"")"
"287","GO:0022405","0.0131899510587237","GO:BP","hair cycle process","c(""GO:0022404"", ""GO:0042633"")"
"288","GO:1905207","0.0134072689205514","GO:BP","regulation of cardiocyte differentiation","c(""GO:0035051"", ""GO:0045595"")"
"289","GO:1903902","0.0134072689205514","GO:BP","positive regulation of viral life cycle","c(""GO:0019058"", ""GO:0048524"", ""GO:1903900"")"
"290","GO:0034446","0.0134192724711291","GO:BP","substrate adhesion-dependent cell spreading","GO:0031589"
"291","GO:0001816","0.0134816144198471","GO:BP","cytokine production","c(""GO:0010467"", ""GO:0032501"")"
"292","CORUM:5499","0.0135767874518699","CORUM","PARVB-ARHGEF6 complex","CORUM:0000000"
"293","CORUM:6203","0.0135767874518699","CORUM","TFAP2C-Myc-KDM5B complex","CORUM:0000000"
"294","CORUM:2655","0.0135767874518699","CORUM","MYC-MAX complex","CORUM:0000000"
"295","CORUM:2426","0.0135767874518699","CORUM","ITGA4-ITGB1-THBS1 complex","CORUM:0000000"
"296","CORUM:518","0.0135767874518699","CORUM","AKAP250-PKA-PDE4D complex","CORUM:0000000"
"297","CORUM:5498","0.0135767874518699","CORUM","ILK-PARVB-ARHGEF6 complex","CORUM:0000000"
"298","CORUM:2462","0.0135767874518699","CORUM","Caveolin-1 homodimer complex","CORUM:0000000"
"299","CORUM:2649","0.0135767874518699","CORUM","MYC-DNMT3A-ZBTB17 complex","CORUM:0000000"
"300","CORUM:4025","0.0135767874518699","CORUM","ACTN1-PARVB complex","CORUM:0000000"
"301","CORUM:3052","0.0135767874518699","CORUM","MYC-MAX complex","CORUM:0000000"
"302","CORUM:2846","0.0135767874518699","CORUM","ITGAV-ITGB3-THBS1 complex","CORUM:0000000"
"303","CORUM:5714","0.0135767874518699","CORUM","NOS3-CAV1 complex","CORUM:0000000"
"304","CORUM:6413","0.0135767874518699","CORUM","PDGFB-PDGFRB complex","CORUM:0000000"
"305","CORUM:5862","0.0135767874518699","CORUM","CAV1-VDAC1-ESR1 complex","CORUM:0000000"
"306","CORUM:7109","0.0135767874518699","CORUM","IGF2R-PLAUR-PLAU complex","CORUM:0000000"
"307","CORUM:550","0.0135767874518699","CORUM","NOS3-CAV1-NOSTRIN complex","CORUM:0000000"
"308","CORUM:557","0.0135767874518699","CORUM","TRP1-G alpha-11-IP3R3-CAV1 signaling complex","CORUM:0000000"
"309","CORUM:764","0.0135767874518699","CORUM","Dysferlin-affixin complex","CORUM:0000000"
"310","CORUM:7544","0.0135767874518699","CORUM","DKK1-KREMEN1-LRP6 complex","CORUM:0000000"
"311","CORUM:6935","0.0135767874518699","CORUM","MYC-TRRAP-KAT2A complex","CORUM:0000000"
"312","CORUM:7486","0.0135767874518699","CORUM","HAS2-HAS3","CORUM:0000000"
"313","CORUM:2010","0.0135767874518699","CORUM","AXL homodimer complex","CORUM:0000000"
"314","CORUM:7110","0.0135767874518699","CORUM","IGF2R-PLG-PLAU-PLAUR-LTGFbeta1 complex","CORUM:0000000"
"315","CORUM:2401","0.0135767874518699","CORUM","ITGA3-ITGB1-THBS1 complex","CORUM:0000000"
"316","CORUM:7112","0.0135767874518699","CORUM","PLAUR-PLAU complex","CORUM:0000000"
"317","GO:0032760","0.0137027495596093","GO:BP","positive regulation of tumor necrosis factor production","c(""GO:0032640"", ""GO:0032680"", ""GO:1903557"")"
"318","GO:0051179","0.0140131119693462","GO:BP","localization","GO:0008150"
"319","GO:0031091","0.0140548579725357","GO:CC","platelet alpha granule","GO:0030141"
"320","GO:0050920","0.0141734289101303","GO:BP","regulation of chemotaxis","c(""GO:0006935"", ""GO:0032101"", ""GO:0040012"")"
"321","GO:1904893","0.0141734289101303","GO:BP","negative regulation of receptor signaling pathway via STAT","c(""GO:0009968"", ""GO:0097696"", ""GO:1904892"")"
"322","GO:0150115","0.0142236717712682","GO:BP","cell-substrate junction organization","GO:0034330"
"323","GO:0090288","0.0142236717712682","GO:BP","negative regulation of cellular response to growth factor stimulus","c(""GO:0048585"", ""GO:0071363"", ""GO:0090287"")"
"324","GO:2001233","0.0143159887996157","GO:BP","regulation of apoptotic signaling pathway","c(""GO:0009966"", ""GO:0042981"", ""GO:0097190"")"
"325","GO:0120031","0.0144552664312327","GO:BP","plasma membrane bounded cell projection assembly","c(""GO:0030031"", ""GO:0120036"")"
"326","GO:0097191","0.014498791184148","GO:BP","extrinsic apoptotic signaling pathway","c(""GO:0007166"", ""GO:0097190"")"
"327","GO:0008544","0.014498791184148","GO:BP","epidermis development","GO:0009888"
"328","GO:0060255","0.0145660087123284","GO:BP","regulation of macromolecule metabolic process","c(""GO:0019222"", ""GO:0043170"")"
"329","GO:1903557","0.0145660087123284","GO:BP","positive regulation of tumor necrosis factor superfamily cytokine production","c(""GO:0001819"", ""GO:0071706"", ""GO:1903555"")"
"330","GO:0060322","0.0145660087123284","GO:BP","head development","GO:0048856"
"331","GO:0051128","0.0145660087123284","GO:BP","regulation of cellular component organization","c(""GO:0016043"", ""GO:0050794"")"
"332","GO:0032816","0.0145660087123284","GO:BP","positive regulation of natural killer cell activation","c(""GO:0030101"", ""GO:0032814"", ""GO:0051251"")"
"333","GO:0150146","0.0145660087123284","GO:BP","cell junction disassembly","c(""GO:0022411"", ""GO:0034330"")"
"334","GO:0086011","0.0145660087123284","GO:BP","membrane repolarization during action potential","c(""GO:0001508"", ""GO:0086009"")"
"335","GO:0048144","0.0146411082535763","GO:BP","fibroblast proliferation","GO:0008283"
"336","GO:0051171","0.0146411082535763","GO:BP","regulation of nitrogen compound metabolic process","c(""GO:0006807"", ""GO:0019222"")"
"337","GO:0046425","0.0146411082535763","GO:BP","regulation of receptor signaling pathway via JAK-STAT","c(""GO:0007259"", ""GO:1904892"")"
"338","GO:0030510","0.0146411082535763","GO:BP","regulation of BMP signaling pathway","c(""GO:0030509"", ""GO:0090092"", ""GO:0090287"")"
"339","GO:0031325","0.0148605118835725","GO:BP","positive regulation of cellular metabolic process","c(""GO:0009893"", ""GO:0031323"", ""GO:0044237"", ""GO:0048522"")"
"340","GO:0007160","0.0151556874945251","GO:BP","cell-matrix adhesion","GO:0031589"
"341","GO:0030031","0.0151556874945251","GO:BP","cell projection assembly","c(""GO:0022607"", ""GO:0030030"")"
"342","GO:0033137","0.0152233870759234","GO:BP","negative regulation of peptidyl-serine phosphorylation","c(""GO:0001933"", ""GO:0018105"", ""GO:0033135"")"
"343","GO:0003906","0.0157996498469547","GO:MF","DNA-(apurinic or apyrimidinic site) endonuclease activity","GO:0140097"
"344","GO:0007507","0.0158280870608428","GO:BP","heart development","c(""GO:0048513"", ""GO:0072359"")"
"345","GO:0006355","0.0159324009027908","GO:BP","regulation of DNA-templated transcription","c(""GO:0006351"", ""GO:0010468"", ""GO:2001141"")"
"346","GO:0097529","0.0159324009027908","GO:BP","myeloid leukocyte migration","GO:0050900"
"347","GO:0010556","0.0159324009027908","GO:BP","regulation of macromolecule biosynthetic process","c(""GO:0009059"", ""GO:0031326"", ""GO:0060255"")"
"348","GO:1904385","0.0159355207359925","GO:BP","cellular response to angiotensin","c(""GO:0071375"", ""GO:1990776"")"
"349","GO:0030595","0.0159355207359925","GO:BP","leukocyte chemotaxis","c(""GO:0050900"", ""GO:0060326"")"
"350","GO:0042634","0.0159355207359925","GO:BP","regulation of hair cycle","c(""GO:0042633"", ""GO:0051239"")"
"351","CORUM:7445","0.0161365754802141","CORUM","HOOK2-KCL3-LRGUK1-RIMBP3 complex","CORUM:0000000"
"352","CORUM:753","0.0161365754802141","CORUM","UTM-SGCE-DAG1-CAV1-NOS3 complex","CORUM:0000000"
"353","CORUM:2653","0.0161365754802141","CORUM","MYC-MAX-KAT2A-TRRAP complex","CORUM:0000000"
"354","GO:0007166","0.0162168326235661","GO:BP","cell surface receptor signaling pathway","GO:0007165"
"355","GO:1904892","0.0163097572899488","GO:BP","regulation of receptor signaling pathway via STAT","c(""GO:0009966"", ""GO:0097696"")"
"356","GO:0009893","0.0163097572899488","GO:BP","positive regulation of metabolic process","c(""GO:0008152"", ""GO:0019222"", ""GO:0048518"")"
"357","GO:0030842","0.0164016814823006","GO:BP","regulation of intermediate filament depolymerization","c(""GO:0045106"", ""GO:0045108"", ""GO:1901879"")"
"358","GO:0045859","0.0164016814823006","GO:BP","regulation of protein kinase activity","c(""GO:0001932"", ""GO:0043549"")"
"359","GO:0045813","0.0164016814823006","GO:BP","positive regulation of Wnt signaling pathway, calcium modulating pathway","c(""GO:0007223"", ""GO:0008591"", ""GO:2000052"")"
"360","GO:0043406","0.0164016814823006","GO:BP","positive regulation of MAP kinase activity","c(""GO:0043405"", ""GO:0043410"", ""GO:0071902"")"
"361","GO:2001141","0.0164016814823006","GO:BP","regulation of RNA biosynthetic process","c(""GO:0010556"", ""GO:0032774"", ""GO:0051252"")"
"362","GO:0003131","0.0164016814823006","GO:BP","mesodermal-endodermal cell signaling","GO:0007267"
"363","GO:2000690","0.0164016814823006","GO:BP","regulation of cardiac muscle cell myoblast differentiation","c(""GO:0045661"", ""GO:0051890"", ""GO:0060379"")"
"364","GO:1901296","0.0164016814823006","GO:BP","negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment","c(""GO:0061317"", ""GO:1901295"", ""GO:1905067"")"
"365","GO:1900143","0.0164016814823006","GO:BP","positive regulation of oligodendrocyte apoptotic process","c(""GO:0034352"", ""GO:0097252"", ""GO:1900141"")"
"366","GO:1900085","0.0164016814823006","GO:BP","negative regulation of peptidyl-tyrosine autophosphorylation","c(""GO:0031953"", ""GO:0038083"", ""GO:0050732"", ""GO:1900084"")"
"367","GO:0008057","0.0164016814823006","GO:BP","eye pigment granule organization","GO:0048753"
"368","GO:0008591","0.0164016814823006","GO:BP","regulation of Wnt signaling pathway, calcium modulating pathway","c(""GO:0007223"", ""GO:2000050"")"
"369","GO:0032649","0.0164016814823006","GO:BP","regulation of type II interferon production","c(""GO:0001817"", ""GO:0032609"")"
"370","GO:0090721","0.0164016814823006","GO:BP","primary adaptive immune response involving T cells and B cells","c(""GO:0002460"", ""GO:0090720"")"
"371","GO:0090720","0.0164016814823006","GO:BP","primary adaptive immune response","GO:0002250"
"372","GO:0032609","0.0164016814823006","GO:BP","type II interferon production","GO:0001816"
"373","GO:0090096","0.0164016814823006","GO:BP","positive regulation of metanephric cap mesenchymal cell proliferation","c(""GO:0002053"", ""GO:0090094"", ""GO:0090095"", ""GO:0090184"", ""GO:1901724"")"
"374","GO:0045108","0.0164016814823006","GO:BP","regulation of intermediate filament polymerization or depolymerization","c(""GO:0045105"", ""GO:0051128"")"
"375","GO:0010604","0.0164016814823006","GO:BP","positive regulation of macromolecule metabolic process","c(""GO:0009893"", ""GO:0043170"", ""GO:0060255"")"
"376","GO:0090095","0.0164016814823006","GO:BP","regulation of metanephric cap mesenchymal cell proliferation","c(""GO:0010464"", ""GO:0090094"", ""GO:1901722"")"
"377","GO:0090092","0.0164016814823006","GO:BP","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","c(""GO:0007178"", ""GO:0009966"")"
"378","GO:0072255","0.0164016814823006","GO:BP","metanephric glomerular mesangial cell development","c(""GO:0072144"", ""GO:0072254"")"
"379","GO:0071345","0.0164016814823006","GO:BP","cellular response to cytokine stimulus","c(""GO:0034097"", ""GO:0071310"")"
"380","GO:0061865","0.0164016814823006","GO:BP","polarized secretion of basement membrane proteins in epithelium","GO:0061864"
"381","GO:0061864","0.0164016814823006","GO:BP","basement membrane constituent secretion","GO:0070278"
"382","GO:0060284","0.0164016814823006","GO:BP","regulation of cell development","c(""GO:0045595"", ""GO:0048468"")"
"383","GO:1901331","0.0164016814823006","GO:BP","positive regulation of odontoblast differentiation","c(""GO:0071895"", ""GO:1901329"", ""GO:1902913"")"
"384","GO:2000691","0.0164016814823006","GO:BP","negative regulation of cardiac muscle cell myoblast differentiation","c(""GO:0045662"", ""GO:0051892"", ""GO:0060379"", ""GO:2000690"")"
"385","GO:0034352","0.0164016814823006","GO:BP","positive regulation of glial cell apoptotic process","c(""GO:0034349"", ""GO:0034350"", ""GO:0043065"")"
"386","GO:0050870","0.0164016814823006","GO:BP","positive regulation of T cell activation","c(""GO:0042110"", ""GO:0050863"", ""GO:0051251"", ""GO:1903039"")"
"387","GO:0002521","0.0164016814823006","GO:BP","leukocyte differentiation","c(""GO:0030097"", ""GO:0030154"")"
"388","GO:1905607","0.0164016814823006","GO:BP","negative regulation of presynapse assembly","c(""GO:0051964"", ""GO:0099054"", ""GO:1905606"")"
"389","GO:1905176","0.0164016814823006","GO:BP","positive regulation of vascular associated smooth muscle cell dedifferentiation","c(""GO:0048522"", ""GO:0051094"", ""GO:1905174"", ""GO:1990936"")"
"390","GO:1905067","0.0164016814823006","GO:BP","negative regulation of canonical Wnt signaling pathway involved in heart development","c(""GO:0003308"", ""GO:0061316"", ""GO:0090090"", ""GO:1905066"")"
"391","GO:1905000","0.0164016814823006","GO:BP","regulation of membrane repolarization during atrial cardiac muscle cell action potential","c(""GO:0060372"", ""GO:0098914"", ""GO:1905031"")"
"392","GO:1904723","0.0164016814823006","GO:BP","negative regulation of Wnt-Frizzled-LRP5/6 complex assembly","c(""GO:0031333"", ""GO:1904701"", ""GO:1904711"")"
"393","GO:1905070","0.0164016814823006","GO:BP","anterior visceral endoderm cell migration","GO:0016477"
"394","GO:1904701","0.0164016814823006","GO:BP","Wnt-Frizzled-LRP5/6 complex assembly","GO:0065003"
"395","GO:0030844","0.0164016814823006","GO:BP","positive regulation of intermediate filament depolymerization","c(""GO:0030842"", ""GO:0045106"", ""GO:0051495"", ""GO:1901881"")"
"396","GO:1903706","0.0164016814823006","GO:BP","regulation of hemopoiesis","c(""GO:0002682"", ""GO:0030097"", ""GO:0060284"", ""GO:2000026"")"
"397","GO:1903609","0.0164016814823006","GO:BP","negative regulation of inward rectifier potassium channel activity","c(""GO:1901979"", ""GO:1903817"")"
"398","GO:0035491","0.0164016814823006","GO:BP","positive regulation of leukotriene production involved in inflammatory response","c(""GO:0002540"", ""GO:0035490"", ""GO:0050729"", ""GO:0051240"")"
"399","GO:0035490","0.0164016814823006","GO:BP","regulation of leukotriene production involved in inflammatory response","c(""GO:0002540"", ""GO:0051239"")"
"400","GO:1904711","0.0164016814823006","GO:BP","regulation of Wnt-Frizzled-LRP5/6 complex assembly","c(""GO:0043254"", ""GO:1904701"")"
"401","GO:0045106","0.0164016814823006","GO:BP","intermediate filament depolymerization","c(""GO:0045105"", ""GO:0051261"")"
"402","REAC:R-HSA-9006936","0.0164720074164071","REAC","Signaling by TGFB family members","REAC:R-HSA-162582"
"403","REAC:R-HSA-9006934","0.0164720074164071","REAC","Signaling by Receptor Tyrosine Kinases","REAC:R-HSA-162582"
"404","REAC:R-HSA-162582","0.0164720074164071","REAC","Signal Transduction","REAC:0000000"
"405","REAC:R-HSA-76005","0.0164720074164071","REAC","Response to elevated platelet cytosolic Ca2+","REAC:R-HSA-76002"
"406","REAC:R-HSA-114608","0.0164720074164071","REAC","Platelet degranulation ","REAC:R-HSA-76005"
"407","REAC:R-HSA-109582","0.0164720074164071","REAC","Hemostasis","REAC:0000000"
"408","GO:1901798","0.0165442537160726","GO:BP","positive regulation of signal transduction by p53 class mediator","c(""GO:0072331"", ""GO:1901796"", ""GO:1902533"")"
"409","GO:0060325","0.0165442537160726","GO:BP","face morphogenesis","c(""GO:0009653"", ""GO:0060323"", ""GO:0060324"")"
"410","WP:WP4336","0.0166328004905525","WP","ncRNAs involved in Wnt signaling in hepatocellular carcinoma","WP:000000"
"411","GO:0006366","0.0169399211406529","GO:BP","transcription by RNA polymerase II","GO:0006351"
"412","GO:0002761","0.0169427817132532","GO:BP","regulation of myeloid leukocyte differentiation","c(""GO:0002573"", ""GO:0045637"", ""GO:1902105"")"
"413","GO:0002065","0.0169427817132532","GO:BP","columnar/cuboidal epithelial cell differentiation","GO:0030855"
"414","GO:0043085","0.0169427817132532","GO:BP","positive regulation of catalytic activity","c(""GO:0044093"", ""GO:0050790"")"
"415","GO:0060306","0.0170375393171731","GO:BP","regulation of membrane repolarization","c(""GO:0042391"", ""GO:0050789"", ""GO:0086009"")"
"416","GO:0042633","0.0170375393171731","GO:BP","hair cycle","GO:0042303"
"417","GO:0042303","0.0170375393171731","GO:BP","molting cycle","GO:0032501"
"418","GO:1990776","0.0170375393171731","GO:BP","response to angiotensin","GO:0043434"
"419","GO:0030212","0.0170375393171731","GO:BP","hyaluronan metabolic process","GO:1903510"
"420","GO:0043372","0.0170375393171731","GO:BP","positive regulation of CD4-positive, alpha-beta T cell differentiation","c(""GO:0043367"", ""GO:0043370"", ""GO:0046638"", ""GO:2000516"")"
"421","GO:0045597","0.0170375393171731","GO:BP","positive regulation of cell differentiation","c(""GO:0030154"", ""GO:0045595"", ""GO:0048522"", ""GO:0051094"")"
"422","GO:0046660","0.0173167335148583","GO:BP","female sex differentiation","c(""GO:0007275"", ""GO:0007548"")"
"423","GO:0030098","0.0175298919411959","GO:BP","lymphocyte differentiation","c(""GO:0046649"", ""GO:1903131"")"
"424","GO:0031326","0.0175298919411959","GO:BP","regulation of cellular biosynthetic process","c(""GO:0009889"", ""GO:0031323"", ""GO:0044249"")"
"425","KEGG:04310","0.0175457342067857","KEGG","Wnt signaling pathway","KEGG:00000"
"426","KEGG:04630","0.0175457342067857","KEGG","JAK-STAT signaling pathway","KEGG:00000"
"427","KEGG:05206","0.0175457342067857","KEGG","MicroRNAs in cancer","KEGG:00000"
"428","GO:2000278","0.0175732735288583","GO:BP","regulation of DNA biosynthetic process","c(""GO:0010556"", ""GO:0051052"", ""GO:0071897"")"
"429","GO:0051716","0.0177130262265339","GO:BP","cellular response to stimulus","c(""GO:0009987"", ""GO:0050896"")"
"430","GO:0003007","0.0177130262265339","GO:BP","heart morphogenesis","c(""GO:0007507"", ""GO:0009887"")"
"431","GO:0009628","0.0177130262265339","GO:BP","response to abiotic stimulus","GO:0050896"
"432","GO:0080090","0.0177130262265339","GO:BP","regulation of primary metabolic process","c(""GO:0019222"", ""GO:0044238"")"
"433","GO:0002688","0.0180532686432443","GO:BP","regulation of leukocyte chemotaxis","c(""GO:0002685"", ""GO:0030595"", ""GO:0050920"")"
"434","GO:0022603","0.0180532686432443","GO:BP","regulation of anatomical structure morphogenesis","c(""GO:0009653"", ""GO:0050793"")"
"435","GO:0051247","0.0180532686432443","GO:BP","positive regulation of protein metabolic process","c(""GO:0010604"", ""GO:0019538"", ""GO:0051173"", ""GO:0051246"")"
"436","GO:0051130","0.0180532686432443","GO:BP","positive regulation of cellular component organization","c(""GO:0016043"", ""GO:0048522"", ""GO:0051128"")"
"437","GO:0035239","0.018089485629812","GO:BP","tube morphogenesis","c(""GO:0009653"", ""GO:0035295"")"
"438","GO:0010648","0.018116794210443","GO:BP","negative regulation of cell communication","c(""GO:0007154"", ""GO:0010646"", ""GO:0048523"")"
"439","GO:0009889","0.018116794210443","GO:BP","regulation of biosynthetic process","c(""GO:0009058"", ""GO:0019222"")"
"440","GO:0048147","0.018116794210443","GO:BP","negative regulation of fibroblast proliferation","c(""GO:0008285"", ""GO:0048144"", ""GO:0048145"")"
"441","GO:0023057","0.018116794210443","GO:BP","negative regulation of signaling","c(""GO:0023051"", ""GO:0023052"", ""GO:0048519"")"
"442","GO:0006351","0.018116794210443","GO:BP","DNA-templated transcription","c(""GO:0010467"", ""GO:0032774"")"
"443","GO:0001704","0.018116794210443","GO:BP","formation of primary germ layer","c(""GO:0007369"", ""GO:0048646"")"
"444","GO:0050673","0.018116794210443","GO:BP","epithelial cell proliferation","GO:0008283"
"445","GO:0042325","0.0181402080415273","GO:BP","regulation of phosphorylation","c(""GO:0016310"", ""GO:0019220"")"
"446","HP:0004608","0.0183532317899853","HP","Anteriorly placed odontoid process","HP:0003310"
"447","GO:0009790","0.0183944953903444","GO:BP","embryo development","GO:0007275"
"448","GO:1903039","0.0184559412534971","GO:BP","positive regulation of leukocyte cell-cell adhesion","c(""GO:0007159"", ""GO:0022409"", ""GO:1903037"")"
"449","CORUM:1171","0.0187954206369997","CORUM","c-MYC-ATPase-helicase complex","CORUM:0000000"
"450","CORUM:1170","0.0187954206369997","CORUM","c-MYC-ATPase-helicase complex","CORUM:0000000"
"451","GO:0090505","0.0189017715605104","GO:BP","epiboly involved in wound healing","c(""GO:0042060"", ""GO:0090504"")"
"452","GO:0044319","0.0189017715605104","GO:BP","wound healing, spreading of cells","c(""GO:0016477"", ""GO:0090505"")"
"453","KEGG:04610","0.0191413993511196","KEGG","Complement and coagulation cascades","KEGG:00000"
"454","GO:0004866","0.0196170560202126","GO:MF","endopeptidase inhibitor activity","c(""GO:0030414"", ""GO:0061135"")"
"455","GO:0046332","0.0196170560202126","GO:MF","SMAD binding","GO:0005515"
"456","GO:0061135","0.0196170560202126","GO:MF","endopeptidase regulator activity","GO:0061134"
"457","GO:0008301","0.0196170560202126","GO:MF","DNA binding, bending","GO:0003677"
"458","GO:0030414","0.0196170560202126","GO:MF","peptidase inhibitor activity","c(""GO:0004857"", ""GO:0061134"")"
"459","GO:0048019","0.0196170560202126","GO:MF","receptor antagonist activity","c(""GO:0005102"", ""GO:0030547"")"
"460","GO:0032774","0.019716345242329","GO:BP","RNA biosynthetic process","c(""GO:0009059"", ""GO:0016070"", ""GO:0034654"")"
"461","GO:0045621","0.019716345242329","GO:BP","positive regulation of lymphocyte differentiation","c(""GO:0030098"", ""GO:0045619"", ""GO:0051251"", ""GO:1902107"")"
"462","GO:0098773","0.019716345242329","GO:BP","skin epidermis development","c(""GO:0008544"", ""GO:0043588"", ""GO:0060429"")"
